buyer_id,age,gender,annual_income_usd,city_type,daily_commute_km,number_of_cars_owned,current_car_type,charging_stations_near_home,charging_stations_near_work,home_charging_possible,environmental_concern_level,subsidy_available,range_anxiety_level,will_buy_ev,age_group
EV00070,47,Female,102868.0,Suburban,52.2,1,Sedan,7,2,Yes,4,Yes,Low,Yes,41-50
EV00071,34,Female,84708.0,Suburban,69.6,2,SUV,4,2,Yes,3,Yes,Low,Yes,31-40
EV00072,27,Female,77759.0,Rural,13.0,2,Hatchback,1,1,Yes,5,Yes,Low,Yes,18-30
EV00073,43,Female,137568.0,Rural,15.2,1,Sedan,0,1,Yes,2,No,Low,No,41-50
EV00074,53,Female,68713.0,Urban,50.9,2,Sedan,10,11,Yes,4,Yes,Low,Yes,51-60
EV00075,36,Female,97685.0,Urban,26.4,1,Sedan,6,4,Yes,3,No,Low,No,31-40
EV00076,35,Female,52349.0,Suburban,74.5,1,Hatchback,6,5,No,4,No,Medium,No,31-40
EV00077,55,Male,90350.0,Suburban,64.2,2,SUV,0,5,No,4,Yes,High,No,51-60
EV00078,60,Male,71949.0,Suburban,25.1,1,SUV,5,4,Yes,1,No,Low,No,51-60
EV00079,53,Male,143044.0,Urban,27.3,2,Sedan,5,13,Yes,4,Yes,Low,Yes,51-60
EV00080,28,Male,75226.0,Suburban,69.5,2,SUV,7,6,No,4,Yes,Medium,No,18-30
EV00081,44,Male,30000.0,Urban,36.2,1,SUV,13,16,Yes,3,Yes,Low,No,41-50
EV00082,45,Female,81991.0,Urban,19.5,2,SUV,3,9,No,3,No,Medium,No,41-50
EV00083,39,Male,30000.0,Urban,31.0,1,SUV,13,15,No,3,Yes,Medium,No,31-40
EV00084,30,Female,30000.0,Urban,26.4,3,SUV,9,8,Yes,1,No,Low,No,18-30
EV00085,30,Female,88411.0,Rural,41.5,3,Sedan,0,3,Yes,4,Yes,Low,No,18-30
EV00086,31,Female,82374.0,Urban,81.2,2,Sedan,8,14,No,3,No,Low,No,31-40
EV00087,49,Male,135989.0,Suburban,5.0,2,Truck,3,2,No,3,Yes,Low,Yes,41-50
EV00088,64,Male,80731.0,Urban,72.7,1,SUV,9,10,Yes,1,No,Low,No,61-70
EV00089,62,Female,30000.0,Suburban,43.9,2,Sedan,5,9,Yes,3,Yes,Low,No,61-70
EV00090,32,Male,119804.0,Suburban,80.9,2,Hatchback,6,7,Yes,4,Yes,Low,Yes,31-40
EV00091,62,Female,147235.0,Urban,43.2,1,Sedan,11,16,Yes,1,Yes,Low,No,61-70
EV00092,29,Male,95129.0,Suburban,5.0,2,Hatchback,1,9,Yes,1,Yes,Low,No,18-30
EV00093,48,Female,161488.0,Urban,33.4,3,Sedan,13,14,No,2,No,Low,No,41-50
EV00094,60,Male,72262.0,Urban,40.9,2,SUV,8,11,No,1,Yes,Medium,No,51-60
EV00095,40,Female,68909.0,Urban,44.3,2,Sedan,11,4,No,4,Yes,Low,Yes,31-40
EV00096,59,Male,73458.0,Suburban,28.2,1,Hatchback,3,5,Yes,2,Yes,Low,No,51-60
EV00097,28,Male,96810.0,Urban,40.6,2,Sedan,5,12,Yes,1,No,Low,No,18-30
EV00098,43,Male,109349.0,Suburban,5.0,2,Hatchback,5,1,Yes,3,Yes,Low,No,41-50
EV00099,38,Female,98035.0,Urban,78.0,2,Sedan,7,5,No,1,No,Medium,No,31-40
EV00100,28,Male,57048.0,Suburban,40.2,2,Sedan,0,5,Yes,2,Yes,Low,No,18-30
EV00101,62,Male,73961.0,Rural,44.2,1,Sedan,0,3,Yes,1,Yes,Low,No,61-70
EV00102,54,Male,66570.0,Suburban,50.6,1,SUV,7,6,Yes,1,Yes,Low,No,51-60
EV00103,47,Female,78293.0,Urban,39.3,1,Truck,10,8,No,4,Yes,High,No,41-50
EV00104,46,Male,114842.0,Urban,30.0,1,SUV,2,3,No,4,No,Low,Yes,41-50
EV00105,46,Male,172772.0,Suburban,50.4,2,SUV,6,9,Yes,3,Yes,Low,Yes,41-50
EV00106,42,Male,92251.0,Urban,61.1,1,Sedan,9,16,No,5,Yes,Low,Yes,41-50
EV00107,48,Female,70475.0,Rural,60.9,1,SUV,1,2,No,1,Yes,Medium,No,41-50
EV00108,68,Male,75946.0,Rural,31.6,2,SUV,1,0,Yes,4,No,Low,No,61-70
EV00109,55,Male,134063.0,Urban,48.5,2,Sedan,4,12,Yes,5,Yes,Low,Yes,51-60
EV00110,61,Male,100474.0,Suburban,67.2,1,Sedan,6,5,Yes,4,Yes,Low,Yes,61-70
EV00111,32,Female,30000.0,Rural,5.0,2,Sedan,1,0,Yes,3,Yes,Low,Yes,31-40
EV00112,45,Female,90029.0,Suburban,53.5,2,Sedan,4,5,Yes,2,No,Low,No,41-50
EV00113,52,Female,100447.0,Suburban,86.0,1,Sedan,1,1,Yes,3,No,Low,No,51-60
EV00114,36,Female,59901.0,Urban,102.8,3,Sedan,2,18,No,3,Yes,Medium,No,31-40
EV00115,30,Female,32083.0,Urban,19.4,1,SUV,13,19,No,4,Yes,Low,No,18-30
EV00116,47,Female,132386.0,Urban,39.4,2,SUV,4,4,No,2,No,Medium,No,41-50
EV00117,50,Male,68380.0,Rural,5.0,1,Hatchback,0,2,Yes,4,Yes,Low,No,41-50
EV00118,43,Male,64417.0,Urban,5.4,1,Sedan,6,14,No,5,No,Low,No,41-50
EV00119,38,Male,45138.0,Suburban,55.3,1,SUV,4,8,Yes,1,No,Low,No,31-40
EV00120,63,Female,30033.0,Urban,6.5,4,SUV,4,12,No,2,No,Low,No,61-70
EV00121,28,Female,80601.0,Suburban,62.5,1,Sedan,7,5,No,4,No,Medium,No,18-30
EV00122,39,Male,72949.0,Urban,17.4,2,SUV,13,4,Yes,4,Yes,Low,Yes,31-40
EV00123,48,Male,93316.0,Urban,34.5,1,Sedan,14,9,No,2,No,Low,No,41-50
EV00124,38,Male,30000.0,Rural,20.1,2,Truck,0,0,Yes,1,Yes,Low,No,31-40
EV00125,49,Female,89539.0,Suburban,32.1,2,Sedan,2,5,No,3,Yes,Low,No,41-50
EV00126,45,Female,95247.0,Urban,40.2,2,Sedan,3,11,No,3,Yes,Medium,No,41-50
EV00127,25,Male,122872.0,Urban,72.1,1,SUV,13,17,Yes,5,No,Low,No,18-30
EV00128,54,Other,71212.0,Urban,54.3,2,Truck,10,12,No,5,Yes,Low,No,51-60
EV00129,36,Female,84708.0,Suburban,55.1,2,Sedan,1,9,Yes,2,No,Low,No,31-40
EV00130,65,Female,184032.0,Suburban,45.6,1,Sedan,2,3,No,3,No,Low,No,61-70
EV00131,52,Female,104538.0,Suburban,21.2,1,Truck,1,5,Yes,5,Yes,Low,Yes,51-60
EV00132,58,Female,67575.0,Urban,29.7,2,Sedan,3,13,No,3,Yes,Low,No,51-60
EV00133,49,Female,40878.0,Rural,5.0,1,Hatchback,2,0,Yes,3,Yes,Low,No,41-50
EV00134,61,Female,65775.0,Rural,26.9,2,Sedan,0,3,Yes,5,Yes,Low,Yes,61-70
EV00135,63,Male,53486.0,Suburban,5.0,2,Sedan,6,4,Yes,3,No,Low,No,61-70
EV00136,34,Male,133659.0,Urban,19.0,1,SUV,10,18,No,3,Yes,Low,No,31-40
EV00137,28,Male,72182.0,Suburban,21.7,1,Sedan,4,5,Yes,1,Yes,Low,No,18-30
EV00138,68,Male,105134.0,Rural,12.7,2,Sedan,2,2,Yes,2,No,Low,No,61-70
EV00139,26,Female,57160.0,Urban,94.0,2,Truck,14,5,No,3,Yes,Low,No,18-30
EV00140,40,Male,124982.0,Urban,65.3,1,Hatchback,9,11,No,5,Yes,Low,Yes,31-40
EV00141,29,Male,90353.0,Urban,40.2,1,Sedan,6,4,No,3,No,Medium,No,18-30
EV00142,29,Male,145914.0,Urban,32.7,1,Sedan,6,6,Yes,1,No,Low,No,18-30
EV00143,61,Male,84708.0,Suburban,35.2,2,Sedan,7,5,Yes,1,No,Low,No,61-70
EV00144,43,Female,30244.0,Urban,59.4,1,Sedan,11,14,Yes,2,Yes,Low,No,41-50
EV00145,39,Male,73940.0,Suburban,59.1,2,Sedan,7,8,Yes,1,Yes,Low,No,31-40
EV00146,53,Male,117729.0,Urban,71.7,4,SUV,13,13,Yes,5,No,Low,No,51-60
EV00147,42,Male,30000.0,Urban,64.5,3,Sedan,2,10,No,4,Yes,High,No,41-50
EV00148,48,Female,77008.0,Suburban,81.3,1,Hatchback,2,7,Yes,5,Yes,Low,Yes,41-50
EV00149,41,Male,84708.0,Urban,15.1,3,Truck,8,7,Yes,4,No,Low,No,41-50
EV00150,31,Male,44080.0,Rural,45.9,1,SUV,0,2,Yes,4,No,Low,No,31-40
EV00151,32,Male,72754.0,Suburban,57.4,1,Sedan,2,4,Yes,4,No,Low,No,31-40
EV00152,45,Male,110321.0,Urban,8.4,1,Sedan,13,18,No,4,Yes,Low,Yes,41-50
EV00153,35,Male,75822.0,Urban,73.4,2,Sedan,3,4,No,2,Yes,Low,No,31-40
EV00154,67,Female,126746.0,Rural,23.0,2,SUV,1,1,Yes,3,Yes,Low,Yes,61-70
EV00155,57,Male,54139.0,Urban,45.7,3,SUV,5,13,No,2,No,Medium,No,51-60
EV00156,68,Male,84708.0,Suburban,44.5,2,Hatchback,4,7,Yes,4,Yes,Low,Yes,61-70
EV00157,64,Male,79224.0,Suburban,38.6,2,Sedan,4,9,Yes,5,Yes,Low,No,61-70
EV00158,48,Female,35750.0,Suburban,31.7,2,Sedan,1,9,No,5,Yes,High,No,41-50
EV00159,47,Female,70350.0,Rural,5.0,1,Sedan,2,0,Yes,3,Yes,Low,No,41-50
EV00160,46,Male,124058.0,Suburban,41.6,1,SUV,5,6,Yes,2,Yes,Low,No,41-50
EV00161,51,Female,62144.0,Urban,5.0,1,Sedan,5,14,No,1,No,Low,No,51-60
EV00162,37,Male,63825.0,Suburban,40.2,4,Sedan,4,2,Yes,5,Yes,Low,Yes,31-40
EV00163,27,Female,95207.0,Suburban,42.7,3,Sedan,4,2,Yes,4,No,Low,No,18-30
EV00164,65,Female,30000.0,Urban,39.3,2,Sedan,7,16,Yes,4,Yes,Low,No,61-70
EV00165,42,Female,123312.0,Urban,45.7,1,Hatchback,2,3,Yes,5,No,Low,No,41-50
EV00166,26,Male,65556.0,Suburban,14.0,1,SUV,3,9,Yes,5,No,Low,No,18-30
EV00167,50,Female,78252.0,Rural,44.7,1,Sedan,2,3,Yes,5,Yes,Low,Yes,41-50
EV00168,27,Male,30000.0,Suburban,37.6,1,SUV,2,2,Yes,5,Yes,Low,No,18-30
EV00169,41,Female,97763.0,Urban,67.3,2,Sedan,13,17,No,4,Yes,Low,No,41-50
EV00170,27,Male,96295.0,Urban,12.1,2,Sedan,3,18,Yes,2,No,Low,No,18-30
EV00171,49,Male,144762.0,Urban,27.5,1,Truck,2,6,Yes,3,No,Low,No,41-50
EV00172,40,Female,114869.0,Rural,63.3,1,SUV,0,2,Yes,1,Yes,Low,Yes,31-40
EV00173,54,Female,30000.0,Rural,27.3,3,Hatchback,1,2,Yes,3,No,Low,No,51-60
EV00174,31,Female,98373.0,Rural,32.7,1,Hatchback,2,3,Yes,3,Yes,Low,Yes,31-40
EV00175,53,Male,92473.0,Suburban,29.8,1,Truck,6,3,No,1,Yes,Medium,No,51-60
EV00176,67,Male,116886.0,Suburban,69.1,2,SUV,4,6,Yes,2,No,Low,No,61-70
EV00177,47,Female,133640.0,Suburban,85.0,2,Sedan,7,1,Yes,1,Yes,Medium,No,41-50
EV00178,45,Male,47885.0,Urban,57.9,3,SUV,6,13,Yes,4,Yes,Low,Yes,41-50
EV00179,50,Female,35150.0,Rural,25.0,1,SUV,1,3,Yes,1,No,Low,No,41-50
EV00180,58,Female,92385.0,Suburban,70.1,3,Truck,0,5,Yes,5,Yes,Low,Yes,51-60
EV00181,32,Female,86258.0,Urban,55.1,2,Sedan,12,10,No,3,No,Medium,No,31-40
EV00182,33,Male,94589.0,Urban,17.3,1,Sedan,4,12,Yes,1,No,Low,No,31-40
EV00183,41,Female,112037.0,Suburban,7.0,2,Hatchback,6,3,Yes,4,Yes,Low,Yes,41-50
EV00184,54,Male,98396.0,Suburban,17.3,3,SUV,5,6,Yes,3,Yes,Low,Yes,51-60
EV00185,25,Male,51207.0,Suburban,40.8,1,Sedan,1,9,Yes,5,Yes,Low,Yes,18-30
EV00186,69,Female,108462.0,Urban,76.3,4,Sedan,8,3,No,2,Yes,Medium,No,61-70
EV00187,65,Male,40588.0,Urban,45.4,1,SUV,13,8,No,4,Yes,Medium,No,61-70
EV00188,64,Male,72483.0,Rural,46.4,2,Sedan,0,2,Yes,2,Yes,Low,No,61-70
EV00189,41,Male,58052.0,Rural,55.5,3,SUV,1,1,Yes,4,No,Low,No,41-50
EV00190,63,Female,36242.0,Urban,46.4,2,SUV,3,15,Yes,3,Yes,Low,No,61-70
EV00191,64,Other,92760.0,Suburban,28.9,1,Sedan,1,9,Yes,2,No,Low,No,61-70
EV00192,64,Female,30000.0,Suburban,53.4,1,Sedan,5,2,Yes,2,No,Low,No,61-70
EV00193,60,Male,76110.0,Rural,45.4,2,Truck,1,1,Yes,4,No,Low,No,51-60
EV00194,50,Female,59336.0,Rural,22.7,1,Sedan,2,2,Yes,3,Yes,Low,No,41-50
EV00195,56,Male,72047.0,Urban,75.0,2,Sedan,10,4,No,2,No,Medium,No,51-60
EV00196,36,Female,123501.0,Urban,33.7,2,Hatchback,9,15,No,1,No,Low,No,31-40
EV00197,33,Male,44583.0,Suburban,45.0,3,Sedan,3,6,Yes,2,Yes,Low,Yes,31-40
EV00198,36,Male,73155.0,Suburban,39.6,1,Sedan,7,1,Yes,5,Yes,Low,No,31-40
EV00199,37,Male,40754.0,Urban,5.0,1,Sedan,6,8,Yes,1,Yes,Low,No,31-40
EV00200,40,Female,122777.0,Urban,72.6,1,SUV,5,10,Yes,4,No,Low,No,31-40
EV00201,47,Male,120429.0,Urban,19.6,1,SUV,2,3,Yes,4,No,Low,No,41-50
EV00202,62,Female,126487.0,Suburban,26.7,1,SUV,2,5,Yes,2,No,Low,No,61-70
EV00203,27,Male,137573.0,Suburban,85.4,2,SUV,7,1,Yes,4,No,Low,No,18-30
EV00204,63,Male,140561.0,Urban,57.5,2,Sedan,8,19,No,3,Yes,Low,Yes,61-70
EV00205,67,Male,112536.0,Suburban,24.6,2,Sedan,4,3,No,5,Yes,Low,Yes,61-70
EV00206,26,Female,119807.0,Suburban,48.4,2,Sedan,5,3,Yes,3,Yes,Low,No,18-30
EV00207,59,Female,52740.0,Suburban,10.2,2,Sedan,7,5,Yes,2,No,Low,No,51-60
EV00208,62,Male,66471.0,Urban,73.9,2,SUV,12,7,No,5,No,Medium,No,61-70
EV00209,60,Female,134700.0,Urban,37.2,2,Sedan,12,18,No,2,Yes,Low,Yes,51-60
EV00210,67,Male,131660.0,Rural,94.6,1,Sedan,0,2,Yes,3,No,Low,Yes,61-70
EV00211,62,Female,99628.0,Suburban,40.3,2,Sedan,6,4,Yes,5,Yes,Low,Yes,61-70
EV00212,69,Male,57622.0,Urban,50.7,1,SUV,12,3,No,1,No,Medium,No,61-70
EV00213,69,Female,102455.0,Suburban,37.9,1,SUV,1,6,Yes,2,Yes,Low,No,61-70
EV00214,56,Female,95334.0,Urban,5.0,1,Truck,11,17,Yes,5,Yes,Low,Yes,51-60
EV00215,40,Male,202395.0,Suburban,40.7,2,Hatchback,0,9,Yes,2,No,Low,No,31-40
EV00216,46,Male,30000.0,Urban,53.2,2,Hatchback,4,8,Yes,4,No,Low,No,41-50
EV00217,28,Male,96964.0,Urban,52.7,1,Hatchback,14,15,No,2,Yes,Low,No,18-30
EV00218,34,Male,59286.0,Urban,5.0,1,Hatchback,5,6,No,4,No,Medium,No,31-40
EV00219,54,Female,87726.0,Urban,42.9,2,Sedan,9,4,Yes,5,No,Low,Yes,51-60
EV00220,55,Female,30000.0,Suburban,19.8,2,Hatchback,0,9,Yes,5,Yes,Low,Yes,51-60
EV00221,60,Male,96891.0,Suburban,14.4,4,Truck,1,6,Yes,5,Yes,Low,No,51-60
EV00222,65,Female,87712.0,Urban,5.0,2,Truck,12,17,Yes,2,Yes,Low,No,61-70
EV00223,49,Female,79769.0,Urban,30.3,2,Sedan,12,18,Yes,3,Yes,Low,No,41-50
EV00224,55,Male,95679.0,Urban,5.0,1,Truck,7,3,Yes,2,No,Low,No,51-60
EV00225,64,Female,134501.0,Urban,48.9,1,Sedan,13,19,Yes,4,No,Low,No,61-70
EV00226,47,Female,91775.0,Rural,32.1,1,Hatchback,2,3,Yes,2,Yes,Low,No,41-50
EV00227,42,Male,107212.0,Suburban,72.4,2,SUV,5,3,No,3,No,Medium,No,41-50
EV00228,29,Male,73985.0,Urban,32.3,1,SUV,10,12,No,4,Yes,Low,Yes,18-30
EV00229,42,Male,66977.0,Urban,5.0,1,Hatchback,2,10,No,4,Yes,Low,No,41-50
EV00230,43,Other,155798.0,Urban,48.2,3,SUV,8,13,No,2,Yes,Low,No,41-50
EV00231,44,Female,93100.0,Rural,82.9,1,Sedan,0,3,Yes,2,Yes,Low,No,41-50
EV00232,43,Female,133234.0,Urban,5.0,2,SUV,13,8,Yes,3,No,Low,No,41-50
EV00233,32,Female,94902.0,Urban,50.4,1,Sedan,12,13,No,3,No,Medium,No,31-40
EV00234,28,Male,39901.0,Suburban,78.8,2,Truck,1,4,Yes,3,No,Low,No,18-30
EV00235,59,Female,55542.0,Suburban,13.1,1,Hatchback,5,9,Yes,2,Yes,Low,No,51-60
EV00236,37,Female,61690.0,Urban,60.3,2,SUV,2,12,No,2,Yes,Medium,No,31-40
EV00237,55,Male,77274.0,Urban,41.2,2,Sedan,8,16,No,4,No,Medium,No,51-60
EV00238,45,Female,115755.0,Urban,33.1,1,SUV,11,17,Yes,5,Yes,Low,Yes,41-50
EV00239,30,Male,83367.0,Urban,65.1,3,Sedan,5,3,No,2,Yes,Medium,No,18-30
EV00240,34,Female,109775.0,Urban,39.6,1,SUV,9,18,No,3,No,Low,No,31-40
EV00241,59,Male,164179.0,Urban,65.1,2,SUV,4,11,No,2,Yes,Medium,No,51-60
EV00242,30,Female,57624.0,Urban,66.5,1,SUV,13,12,No,2,Yes,Medium,No,18-30
EV00243,50,Male,105601.0,Suburban,56.8,4,Sedan,5,5,Yes,5,Yes,Low,Yes,41-50
EV00244,39,Female,104074.0,Urban,34.0,2,SUV,5,17,Yes,1,No,Low,No,31-40
EV00245,53,Male,75723.0,Urban,16.5,2,Hatchback,11,16,No,5,Yes,Low,Yes,51-60
EV00246,35,Male,30000.0,Urban,43.7,2,Sedan,14,16,Yes,5,Yes,Low,No,31-40
EV00247,36,Male,121824.0,Urban,55.3,2,Truck,8,13,No,1,No,Medium,No,31-40
EV00248,58,Female,30000.0,Suburban,99.0,1,SUV,1,3,Yes,4,Yes,Low,No,51-60
EV00249,34,Male,69465.0,Urban,6.0,1,Hatchback,10,10,No,4,Yes,Low,Yes,31-40
EV00250,68,Female,64020.0,Urban,53.3,1,Sedan,14,15,Yes,3,Yes,Low,No,61-70
EV00251,45,Male,66434.0,Urban,96.0,3,Hatchback,2,3,No,1,No,Medium,No,41-50
EV00252,43,Male,102231.0,Suburban,75.5,2,Sedan,2,5,Yes,3,No,Medium,No,41-50
EV00253,55,Male,89729.0,Rural,18.4,2,Sedan,0,3,Yes,2,Yes,Low,No,51-60
EV00254,28,Male,30000.0,Urban,67.0,2,Truck,8,9,No,4,No,Medium,No,18-30
EV00255,54,Female,30000.0,Urban,25.2,3,Sedan,6,16,No,4,No,Low,No,51-60
EV00256,52,Female,84708.0,Urban,28.3,1,SUV,6,18,No,4,Yes,Low,No,51-60
EV00257,42,Female,53122.0,Suburban,18.9,1,Sedan,3,2,Yes,5,No,Low,No,41-50
EV00258,32,Female,88201.0,Suburban,61.8,3,SUV,7,3,Yes,5,Yes,Low,Yes,31-40
EV00259,50,Female,112540.0,Rural,69.1,2,SUV,1,1,Yes,4,No,Low,No,41-50
EV00260,55,Female,47030.0,Urban,25.0,1,Truck,2,3,Yes,3,Yes,Low,Yes,51-60
EV00261,63,Female,128429.0,Urban,85.4,1,Sedan,8,19,No,1,No,Low,No,61-70
EV00262,46,Female,80353.0,Urban,51.5,1,Sedan,14,4,Yes,3,Yes,Low,No,41-50
EV00263,54,Male,30000.0,Suburban,5.0,1,Sedan,6,1,Yes,1,No,Low,No,51-60
EV00264,31,Female,40256.0,Urban,76.1,1,Hatchback,13,9,Yes,3,No,Low,No,31-40
